1,12
2,10
3,14
4,12
5,12
6,16
7,16
8,15
9,16
10,16
11,15
12,16
13,17
14,17
15,20
16,16
17,18
18,17
19,18
20,20
21,19
22,22
23,20
24,18
25,22
26,22
27,20
28,18
29,19
30,20
31,19
32,18
33,20
34,19
35,17
36,16
37,16
38,16
39,16
40,16
41,13
42,14
43,16
44,12
45,15
46,13
47,12
48,11
49,10
50,10
51,11
52,9
53,8
54,7
55,7
56,7
57,7
58,4
59,4
60,6
61,2
62,5
63,5
64,3
65,0
66,1
67,0
68,2
69,1
70,1
71,2
72,1
73,0
74,1
75,1
76,2
77,2
78,1
79,1
80,2
81,1
82,2
83,1
84,2
85,4
86,3
87,4
88,5
89,6
90,4
91,3
92,4
93,8
94,4
95,7
96,6
97,10
98,10
99,9
100,10
